transaction,activity
acc_left_vm;acc_chest_vm;acc_right_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
mag_left_vm;acc_left_vm;acc_right_vm,0
acc_left_vm;mag_right_vm;acc_chest_vm,0
acc_left_vm;acc_right_vm;acc_chest_vm,0
acc_left_vm;acc_right_vm;acc_chest_vm,0
acc_left_vm;acc_right_vm;acc_chest_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_right_vm;acc_right_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_right_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_right_vm;mag_left_vm;acc_left_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
mag_left_vm;mag_right_vm;acc_left_vm,0
mag_right_vm;acc_left_vm;acc_right_vm,0
mag_right_vm;acc_left_vm;acc_chest_vm,0
acc_left_vm;acc_chest_vm;acc_right_vm,0
